image,equation,answer
math_328.jpg,Solve for x: 1x^2 +1x +0 = 0,"x = -1, 0"
math_329.jpg,"Find det([[-4,2],[-3,4]])",-10
math_330.jpg,Solve for x: 1x^2 +9x +14 = 0,"x = -7, -2"
math_331.jpg,"P(A)=0.3, P(B)=0.5, P(A∩B)=0.09. Find P(A∪B)",0.71
math_332.jpg,"Find det([[3,0],[3,-2]])",-6
math_333.jpg,"Find det([[-4,-2],[-1,0]])",-2
math_334.jpg,"P(A)=0.4, P(B)=0.4, P(A∩B)=0.08. Find P(A∪B)",0.72
math_335.jpg,Solve for x: 1x^2 +11x +30 = 0,"x = -6, -5"
math_336.jpg,"P(A)=0.5, P(B)=0.5, P(A∩B)=0.1. Find P(A∪B)",0.9
math_337.jpg,Evaluate: ∫ (2x +1) dx,1.0x^2 +1x + C
math_338.jpg,Solve for x: 1x^2 -11x +28 = 0,"x = 4, 7"
math_339.jpg,Solve for x: 1x^2 +11x +28 = 0,"x = -7, -4"
math_340.jpg,Solve for x: 1x^2 +3x +0 = 0,"x = -3, 0"
math_341.jpg,"P(A)=0.5, P(B)=0.4, P(A∩B)=0.16. Find P(A∪B)",0.74
math_342.jpg,"P(A)=0.2, P(B)=0.5, P(A∩B)=0.04. Find P(A∪B)",0.66
math_343.jpg,Evaluate: ∫ (4x -4) dx,2.0x^2 -4x + C
math_344.jpg,Evaluate: ∫ (2x -1) dx,1.0x^2 -1x + C
math_345.jpg,Solve for x: 2x^2 -2x +0 = 0,"x = 1, 0"
math_346.jpg,Solve for x: 2x^2 +0x -32 = 0,"x = 4, -4"
math_347.jpg,"Find det([[-5,-2],[2,5]])",-21
math_348.jpg,Solve for x: 1x^2 -8x +7 = 0,"x = 7, 1"
math_349.jpg,Find d/dx of f(x) = 5x^3 +4x^2 -5x,15x^2 +8x -5
math_350.jpg,Evaluate: ∫ (1x +5) dx,0.5x^2 +5x + C
math_351.jpg,"P(A)=0.3, P(B)=0.3, P(A∩B)=0.06. Find P(A∪B)",0.54
math_352.jpg,Find d/dx of f(x) = 2x^3 -3x^2 -4x,6x^2 -6x -4
math_353.jpg,"Find det([[-2,2],[4,5]])",-18
math_354.jpg,Solve for x: 2x^2 +18x +40 = 0,"x = -5, -4"
math_355.jpg,Solve for x: 1x^2 +8x +0 = 0,"x = 0, -8"
math_356.jpg,Find d/dx of f(x) = 2x^3 +5x^2 +5x,6x^2 +10x +5
math_357.jpg,Find d/dx of f(x) = 4x^3 +6x^2 -3x,12x^2 +12x -3
math_358.jpg,Evaluate: ∫ (4x -5) dx,2.0x^2 -5x + C
math_359.jpg,"P(A)=0.2, P(B)=0.3, P(A∩B)=0.08. Find P(A∪B)",0.42
math_360.jpg,"Find det([[4,-1],[-1,4]])",15
math_361.jpg,Solve for x: 2x^2 +20x +32 = 0,"x = -8, -2"
math_362.jpg,Evaluate: ∫ (2x +2) dx,1.0x^2 +2x + C
math_363.jpg,Find d/dx of f(x) = 3x^3 +2x^2 +0x,9x^2 +4x +0
math_364.jpg,"P(A)=0.3, P(B)=0.3, P(A∩B)=0.06. Find P(A∪B)",0.54
math_365.jpg,Evaluate: ∫ (5x -4) dx,2.5x^2 -4x + C
math_366.jpg,Find d/dx of f(x) = 5x^3 -4x^2 -2x,15x^2 -8x -2
math_367.jpg,Solve for x: 1x^2 -5x +4 = 0,"x = 1, 4"
math_368.jpg,Find d/dx of f(x) = 1x^3 +4x^2 -5x,3x^2 +8x -5
math_369.jpg,"Find det([[3,-2],[5,-1]])",7
math_370.jpg,"P(A)=0.6, P(B)=0.3, P(A∩B)=0.12. Find P(A∪B)",0.78
math_371.jpg,Find d/dx of f(x) = 4x^3 +4x^2 -6x,12x^2 +8x -6
math_372.jpg,"Find det([[-3,2],[1,3]])",-11
math_373.jpg,"P(A)=0.3, P(B)=0.4, P(A∩B)=0.09. Find P(A∪B)",0.61
math_374.jpg,Solve for x: 2x^2 +32x +126 = 0,"x = -9, -7"
math_375.jpg,"Find det([[-5,4],[3,2]])",-22
math_376.jpg,Solve for x: 1x^2 -10x +25 = 0,"x = 5, 5"
math_377.jpg,"Find det([[4,-5],[2,3]])",22
math_378.jpg,"P(A)=0.4, P(B)=0.5, P(A∩B)=0.16. Find P(A∪B)",0.74
math_379.jpg,Solve for x: 1x^2 -16x +63 = 0,"x = 7, 9"
math_380.jpg,Evaluate: ∫ (4x -1) dx,2.0x^2 -1x + C
math_381.jpg,Solve for x: 1x^2 -1x -20 = 0,"x = -4, 5"
math_382.jpg,"Find det([[0,2],[3,5]])",-6
math_383.jpg,"Find det([[-1,-4],[2,4]])",4
math_384.jpg,"P(A)=0.5, P(B)=0.2, P(A∩B)=0.08. Find P(A∪B)",0.62
math_385.jpg,Find d/dx of f(x) = 4x^3 +6x^2 -3x,12x^2 +12x -3
math_386.jpg,Find d/dx of f(x) = 3x^3 +2x^2 -5x,9x^2 +4x -5
math_387.jpg,"Find det([[-3,3],[-1,1]])",0
math_388.jpg,"P(A)=0.4, P(B)=0.3, P(A∩B)=0.09. Find P(A∪B)",0.61
math_389.jpg,Solve for x: 1x^2 -2x -24 = 0,"x = -4, 6"
math_390.jpg,Evaluate: ∫ (3x -2) dx,1.5x^2 -2x + C
math_391.jpg,Solve for x: 1x^2 +11x +28 = 0,"x = -7, -4"
math_392.jpg,"Find det([[2,2],[5,-4]])",-18
math_393.jpg,Evaluate: ∫ (4x +3) dx,2.0x^2 +3x + C
math_394.jpg,Evaluate: ∫ (4x -2) dx,2.0x^2 -2x + C
math_395.jpg,"P(A)=0.2, P(B)=0.3, P(A∩B)=0.04. Find P(A∪B)",0.46
math_396.jpg,Evaluate: ∫ (3x +5) dx,1.5x^2 +5x + C
math_397.jpg,"Find det([[2,3],[-4,0]])",12
math_398.jpg,"P(A)=0.6, P(B)=0.4, P(A∩B)=0.12. Find P(A∪B)",0.88
math_399.jpg,"Find det([[4,-5],[5,3]])",37
math_400.jpg,Solve for x: 1x^2 +18x +81 = 0,"x = -9, -9"
math_401.jpg,Solve for x: 1x^2 +4x -21 = 0,"x = -7, 3"
math_402.jpg,Evaluate: ∫ (5x +2) dx,2.5x^2 +2x + C
math_403.jpg,Evaluate: ∫ (2x -3) dx,1.0x^2 -3x + C
math_404.jpg,"P(A)=0.4, P(B)=0.2, P(A∩B)=0.08. Find P(A∪B)",0.52
math_405.jpg,"Find det([[1,1],[3,4]])",1
math_406.jpg,Solve for x: 1x^2 +8x +15 = 0,"x = -5, -3"
math_407.jpg,Find d/dx of f(x) = 4x^3 +2x^2 +0x,12x^2 +4x +0
math_408.jpg,Evaluate: ∫ (5x +3) dx,2.5x^2 +3x + C
math_409.jpg,Solve for x: 1x^2 -6x +0 = 0,"x = 0, 6"
math_410.jpg,Evaluate: ∫ (4x -1) dx,2.0x^2 -1x + C
math_411.jpg,"Find det([[1,0],[3,-1]])",-1
math_412.jpg,Find d/dx of f(x) = 5x^3 +1x^2 -5x,15x^2 +2x -5
math_413.jpg,Find d/dx of f(x) = 3x^3 +5x^2 -6x,9x^2 +10x -6
math_414.jpg,Solve for x: 1x^2 +15x +54 = 0,"x = -6, -9"
math_415.jpg,Solve for x: 2x^2 +14x -16 = 0,"x = 1, -8"
math_416.jpg,Evaluate: ∫ (2x -1) dx,1.0x^2 -1x + C
math_417.jpg,Find d/dx of f(x) = 5x^3 +1x^2 +3x,15x^2 +2x +3
math_418.jpg,Evaluate: ∫ (3x +0) dx,1.5x^2 +0x + C
math_419.jpg,"P(A)=0.3, P(B)=0.2, P(A∩B)=0.06. Find P(A∪B)",0.44
math_420.jpg,"P(A)=0.4, P(B)=0.5, P(A∩B)=0.16. Find P(A∪B)",0.74
math_421.jpg,"Find det([[2,3],[-4,0]])",12
math_422.jpg,Find d/dx of f(x) = 2x^3 +0x^2 +4x,6x^2 +0x +4
math_423.jpg,"Find det([[-3,3],[4,5]])",-27
math_424.jpg,"P(A)=0.6, P(B)=0.3, P(A∩B)=0.06. Find P(A∪B)",0.84
math_425.jpg,Solve for x: 1x^2 +6x -27 = 0,"x = -9, 3"
math_426.jpg,Find d/dx of f(x) = 2x^3 +4x^2 -5x,6x^2 +8x -5
math_427.jpg,Find d/dx of f(x) = 3x^3 -6x^2 -3x,9x^2 -12x -3
math_428.jpg,"Find det([[-2,-1],[4,-2]])",8
math_429.jpg,"Find det([[-2,4],[4,-2]])",-12
math_430.jpg,Evaluate: ∫ (2x +6) dx,1.0x^2 +6x + C
math_431.jpg,Evaluate: ∫ (5x -4) dx,2.5x^2 -4x + C
math_432.jpg,Find d/dx of f(x) = 4x^3 +5x^2 +6x,12x^2 +10x +6
math_433.jpg,Find d/dx of f(x) = 5x^3 +4x^2 -4x,15x^2 +8x -4
math_434.jpg,"P(A)=0.3, P(B)=0.3, P(A∩B)=0.12. Find P(A∪B)",0.48
math_435.jpg,Find d/dx of f(x) = 3x^3 +3x^2 -6x,9x^2 +6x -6
math_436.jpg,Find d/dx of f(x) = 4x^3 -3x^2 -1x,12x^2 -6x -1
math_437.jpg,Evaluate: ∫ (2x -1) dx,1.0x^2 -1x + C
math_438.jpg,Evaluate: ∫ (4x +3) dx,2.0x^2 +3x + C
math_439.jpg,"Find det([[-5,4],[2,2]])",-18
math_440.jpg,Evaluate: ∫ (2x -5) dx,1.0x^2 -5x + C
math_441.jpg,"Find det([[4,-3],[-3,0]])",-9
math_442.jpg,Find d/dx of f(x) = 3x^3 +1x^2 +2x,9x^2 +2x +2
math_443.jpg,Solve for x: 1x^2 +5x -14 = 0,"x = 2, -7"
math_444.jpg,"P(A)=0.2, P(B)=0.4, P(A∩B)=0.06. Find P(A∪B)",0.54
math_445.jpg,Find d/dx of f(x) = 4x^3 +4x^2 +2x,12x^2 +8x +2
math_446.jpg,Find d/dx of f(x) = 3x^3 +4x^2 +4x,9x^2 +8x +4
math_447.jpg,"P(A)=0.4, P(B)=0.5, P(A∩B)=0.12. Find P(A∪B)",0.78
math_448.jpg,Find d/dx of f(x) = 4x^3 -4x^2 -6x,12x^2 -8x -6
math_449.jpg,"Find det([[-1,2],[3,-5]])",-1
math_450.jpg,"Find det([[0,1],[0,5]])",0
math_451.jpg,"Find det([[5,-1],[2,2]])",12
math_452.jpg,Evaluate: ∫ (2x +0) dx,1.0x^2 +0x + C
math_453.jpg,Find d/dx of f(x) = 5x^3 +1x^2 -3x,15x^2 +2x -3
math_454.jpg,"P(A)=0.6, P(B)=0.5, P(A∩B)=0.15. Find P(A∪B)",0.95
math_455.jpg,"Find det([[5,3],[-1,5]])",28
math_456.jpg,"Find det([[-3,-1],[1,-4]])",13
math_457.jpg,"P(A)=0.3, P(B)=0.5, P(A∩B)=0.09. Find P(A∪B)",0.71
math_458.jpg,"Find det([[3,5],[-5,-1]])",22
math_459.jpg,Find d/dx of f(x) = 4x^3 -5x^2 -3x,12x^2 -10x -3
math_460.jpg,Evaluate: ∫ (2x +0) dx,1.0x^2 +0x + C
math_461.jpg,Find d/dx of f(x) = 1x^3 +3x^2 -5x,3x^2 +6x -5
math_462.jpg,Find d/dx of f(x) = 4x^3 -1x^2 +6x,12x^2 -2x +6
math_463.jpg,Find d/dx of f(x) = 3x^3 -6x^2 -6x,9x^2 -12x -6
math_464.jpg,Evaluate: ∫ (1x +4) dx,0.5x^2 +4x + C
math_465.jpg,Find d/dx of f(x) = 4x^3 -3x^2 +4x,12x^2 -6x +4
math_466.jpg,Find d/dx of f(x) = 5x^3 -2x^2 -2x,15x^2 -4x -2
math_467.jpg,"Find det([[-2,5],[-5,4]])",17
math_468.jpg,"P(A)=0.2, P(B)=0.3, P(A∩B)=0.08. Find P(A∪B)",0.42
math_469.jpg,Evaluate: ∫ (3x +5) dx,1.5x^2 +5x + C
math_470.jpg,"P(A)=0.3, P(B)=0.3, P(A∩B)=0.12. Find P(A∪B)",0.48
math_471.jpg,"P(A)=0.6, P(B)=0.4, P(A∩B)=0.12. Find P(A∪B)",0.88
math_472.jpg,Solve for x: 1x^2 +7x +12 = 0,"x = -3, -4"
math_473.jpg,Evaluate: ∫ (3x -2) dx,1.5x^2 -2x + C
math_474.jpg,Find d/dx of f(x) = 5x^3 +3x^2 +4x,15x^2 +6x +4
math_475.jpg,"P(A)=0.6, P(B)=0.4, P(A∩B)=0.16. Find P(A∪B)",0.84
math_476.jpg,Find d/dx of f(x) = 2x^3 -4x^2 -1x,6x^2 -8x -1
math_477.jpg,Evaluate: ∫ (4x +1) dx,2.0x^2 +1x + C
math_478.jpg,"P(A)=0.2, P(B)=0.5, P(A∩B)=0.06. Find P(A∪B)",0.64
math_479.jpg,Evaluate: ∫ (4x +2) dx,2.0x^2 +2x + C
math_480.jpg,Evaluate: ∫ (5x -5) dx,2.5x^2 -5x + C
math_481.jpg,Solve for x: 1x^2 +9x +8 = 0,"x = -8, -1"
math_482.jpg,"P(A)=0.2, P(B)=0.2, P(A∩B)=0.04. Find P(A∪B)",0.36
math_483.jpg,Evaluate: ∫ (5x -2) dx,2.5x^2 -2x + C
math_484.jpg,"Find det([[-5,2],[4,-2]])",2
math_485.jpg,"P(A)=0.6, P(B)=0.2, P(A∩B)=0.06. Find P(A∪B)",0.74
math_486.jpg,Find d/dx of f(x) = 2x^3 -4x^2 -4x,6x^2 -8x -4
math_487.jpg,Solve for x: 1x^2 +6x -7 = 0,"x = 1, -7"
math_488.jpg,Solve for x: 1x^2 -10x +9 = 0,"x = 1, 9"
math_489.jpg,Solve for x: 1x^2 -7x +0 = 0,"x = 0, 7"
math_490.jpg,Find d/dx of f(x) = 4x^3 +0x^2 +6x,12x^2 +0x +6
math_491.jpg,"Find det([[-2,0],[3,4]])",-8
math_492.jpg,"P(A)=0.2, P(B)=0.4, P(A∩B)=0.08. Find P(A∪B)",0.52
math_493.jpg,Solve for x: 1x^2 +14x +48 = 0,"x = -8, -6"
math_494.jpg,Evaluate: ∫ (1x +3) dx,0.5x^2 +3x + C
math_495.jpg,Find d/dx of f(x) = 2x^3 -3x^2 +3x,6x^2 -6x +3
math_496.jpg,"Find det([[1,5],[0,5]])",5
math_497.jpg,Find d/dx of f(x) = 3x^3 +0x^2 +2x,9x^2 +0x +2
math_498.jpg,Solve for x: 1x^2 -6x -27 = 0,"x = 9, -3"
math_499.jpg,"P(A)=0.4, P(B)=0.2, P(A∩B)=0.04. Find P(A∪B)",0.56
math_500.jpg,"Find det([[-5,-1],[-4,-3]])",11
